metric,value
format,MoonSimRockfieldAnalysis
rocks.owned_rocks_by_source_crater.718,2
rocks.owned_rocks_by_source_crater.722,13
rocks.owned_rocks_by_source_crater.724,7
rocks.owned_rocks_by_source_crater.725,2
rocks.owned_rocks_by_source_crater.731,7
rocks.owned_rocks_by_source_crater.734,2
rocks.owned_rocks_by_source_crater.735,13
rocks.owned_rocks_by_source_crater.737,12
rocks.owned_rocks_by_source_crater.739,7
rocks.owned_rocks_by_source_crater.740,2
rocks.owned_rocks_by_source_crater.741,4
rocks.owned_rocks_by_source_crater.743,4
rocks.owned_rocks_by_source_crater.744,2
rocks.owned_rocks_by_source_crater.745,2
rocks.owned_rocks_by_source_crater.747,2
rocks.owned_rocks_by_source_crater.748,2
rocks.owned_rocks_by_source_crater.750,3
rocks.owned_rocks_by_source_crater.751,3
rocks.owned_rocks_by_source_crater.752,5
rocks.owned_rocks_by_source_crater.755,8
rocks.owned_rocks_by_source_crater.757,2
rocks.owned_rocks_by_source_crater.761,2
rocks.owned_rocks_by_source_crater.763,2
rocks.owned_rocks_by_source_crater.764,3
rocks.owned_rocks_by_source_crater.765,2
rocks.owned_rocks_by_source_crater.766,117
rocks.owned_rocks_by_source_crater.768,4
rocks.owned_rocks_by_source_crater.770,3
rocks.owned_rocks_by_source_crater.773,3
rocks.owned_rocks_by_source_crater.774,2
rocks.owned_rocks_by_source_crater.777,38
rocks.owned_rocks_by_source_crater.781,8
rocks.owned_rocks_by_source_crater.784,3
rocks.owned_rocks_by_source_crater.785,29
rocks.owned_rocks_by_source_crater.786,12
rocks.owned_rocks_by_source_crater.787,8
rocks.owned_rocks_by_source_crater.790,2
rocks.owned_rocks_by_source_crater.791,2
rocks.owned_rocks_by_source_crater.792,3
rocks.owned_rocks_by_source_crater.793,6
rocks.owned_rocks_by_source_crater.794,5
rocks.owned_rocks_by_source_crater.795,13
rocks.owned_rocks_by_source_crater.801,3
rocks.owned_rocks_by_source_crater.803,21
rocks.owned_rocks_by_source_crater.804,3
rocks.owned_rocks_by_source_crater.805,2
rocks.owned_rocks_by_source_crater.806,3
rocks.owned_rocks_by_source_crater.808,2
rocks.owned_rocks_by_source_crater.809,3
rocks.owned_rocks_by_source_crater.810,2
rocks.owned_rocks_by_source_crater.811,2
rocks.owned_rocks_by_source_crater.813,3
rocks.owned_rocks_by_source_crater.816,13
rocks.owned_rocks_by_source_crater.818,2
rocks.owned_rocks_by_source_crater.819,2
rocks.large_rock_threshold_m,2.0
rocks.large_rock_count,0
spatial.nearest_neighbor_distance_m.min,0.034120730880149636
spatial.nearest_neighbor_distance_m.max,19.071559636030646
spatial.nearest_neighbor_distance_m.range,19.037438905150495
spatial.nearest_neighbor_distance_m.mean,3.7223535500273948
spatial.nearest_neighbor_distance_m.median,3.001069804649501
spatial.nearest_neighbor_distance_m.std,2.7813920533761904
spatial.nearest_neighbor_distance_m.p05,0.5485446386500501
spatial.nearest_neighbor_distance_m.p25,1.5448817965725303
spatial.nearest_neighbor_distance_m.p75,5.2600180526575855
spatial.nearest_neighbor_distance_m.p95,9.344814721672648
spatial.nearest_neighbor_distance_m.p99,12.222053421754696
spatial.poisson_expected_mean_nearest_neighbor_m,4.3752050925456825
spatial.clark_evans_r,0.850783785283439
spatial.clark_evans_interpretation,clustered
spatial.quadrat_bins,32
spatial.quadrat_mean_count,3.1884765625
spatial.quadrat_variance_count,10.76111830248045
spatial.quadrat_index_of_dispersion,3.3750031061990753
source_crater_distance.normalized_radius.min,0.09194118932203879
source_crater_distance.normalized_radius.max,7.813097591226068
source_crater_distance.normalized_radius.range,7.721156401904029
source_crater_distance.normalized_radius.mean,2.2316783163039577
source_crater_distance.normalized_radius.median,1.809249868967021
source_crater_distance.normalized_radius.std,1.4788777571116707
source_crater_distance.normalized_radius.p05,0.6388272396723235
source_crater_distance.normalized_radius.p25,1.1961303781258759
source_crater_distance.normalized_radius.p75,2.84069711173366
source_crater_distance.normalized_radius.p95,5.409270172992278
source_crater_distance.normalized_radius.p99,7.166227909226382
craters.catalog_count,820
