metric,value
format,MoonSimRockfieldAnalysis
source_crater_figure.source_crater_counts.370,188
source_crater_figure.source_crater_counts.372,2
source_crater_figure.source_crater_counts.375,1
source_crater_figure.source_crater_counts.386,2
source_crater_figure.source_crater_counts.395,2
source_crater_figure.source_crater_counts.397,3
source_crater_figure.source_crater_counts.398,2
source_crater_figure.source_crater_counts.404,5
source_crater_figure.source_crater_counts.406,1
source_crater_figure.source_crater_counts.407,35
source_crater_figure.source_crater_counts.417,16
source_crater_figure.source_crater_counts.419,7
source_crater_figure.source_crater_counts.426,11
source_crater_figure.source_crater_counts.427,2
source_crater_figure.source_crater_counts.431,2
source_crater_figure.source_crater_counts.438,2
source_crater_figure.source_crater_counts.443,2
source_crater_figure.source_crater_counts.446,1
source_crater_figure.source_crater_counts.451,2
source_crater_figure.source_crater_counts.453,300
source_crater_figure.source_crater_counts.454,17
source_crater_figure.source_crater_counts.455,2
source_crater_figure.source_crater_counts.460,2
source_crater_figure.source_crater_counts.466,216
source_crater_figure.source_crater_counts.468,2
source_crater_figure.source_crater_counts.470,6
source_crater_figure.source_crater_counts.473,1
source_crater_figure.source_crater_counts.480,2
source_crater_figure.source_crater_counts.483,5
source_crater_figure.source_crater_counts.494,2
source_crater_figure.source_crater_counts.497,2
source_crater_figure.source_crater_counts.499,1
source_crater_figure.source_crater_counts.505,35
source_crater_figure.source_crater_counts.507,11
source_crater_figure.source_crater_counts.509,1
source_crater_figure.source_crater_counts.517,18
source_crater_figure.source_crater_counts.518,2
source_crater_figure.source_crater_counts.533,3
source_crater_figure.source_crater_counts.540,3
source_crater_figure.source_crater_counts.547,289
source_crater_figure.source_crater_counts.549,5
source_crater_figure.source_crater_counts.554,5
source_crater_figure.source_crater_counts.555,4
source_crater_figure.source_crater_counts.559,3
source_crater_figure.source_crater_counts.561,5
source_crater_figure.source_crater_counts.562,6
source_crater_figure.source_crater_counts.565,12
source_crater_figure.source_crater_counts.566,2
source_crater_figure.source_crater_counts.569,2
source_crater_figure.source_crater_counts.570,18
source_crater_figure.source_crater_counts.573,4
source_crater_figure.source_crater_counts.577,15
source_crater_figure.source_crater_counts.588,2
source_crater_figure.source_crater_counts.590,7
